step,split,level,n,raw_case_fraction_mean,generation_seconds_median,generation_seconds_p90,total_seconds_median,total_seconds_p90,attempts_mean,attempt_1_rate,attempt_2_rate,attempt_3_rate,truncation_rate,completion_tokens_mean
1,train,1,8,0.0,192.6984634399414,217.50619800090792,223.4236968755722,252.4567415714264,3.0,0.0,0.0,1.0,0.875,3859.5
2,train,1,8,0.0,198.3119375705719,252.75864892005922,236.19220876693726,289.3189037084579,3.0,0.0,0.0,1.0,0.75,3507.5
3,train,1,11,0.45454545454545453,242.0312533378601,289.31689643859863,276.15892720222473,323.5670201778412,2.272727272727273,0.2727272727272727,0.18181818181818182,0.5454545454545454,0.6363636363636364,2570.090909090909
4,train,1,5,0.2,295.06841588020325,298.3875341415405,326.17884612083435,329.35016107559204,2.8,0.0,0.2,0.8,0.8,3410.4
5,train,1,7,0.14285714285714285,294.32737851142883,304.8112743854523,329.76052737236023,341.1849012374878,3.0,0.0,0.0,1.0,0.8571428571428571,3830.4285714285716
6,train,1,8,0.25,300.26458132267,348.0348081588745,339.04837441444397,386.7438427209854,2.625,0.0,0.375,0.625,0.75,3758.75
7,train,1,8,0.25,307.07707357406616,348.35943431854247,340.86795008182526,385.86263461112975,2.625,0.0,0.375,0.625,0.875,3919.875
8,train,1,10,0.3,306.8937542438507,310.069737124443,338.36120903491974,348.7353363513946,2.2,0.2,0.4,0.4,0.7,3128.6
9,train,1,6,0.5,304.014080286026,306.85817754268646,334.398361325264,339.72328650951385,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,2940.0
10,eval,1,24,0.75,29.169190645217896,136.58306987285613,58.05083453655243,169.41693525314332,1.7916666666666667,0.5416666666666666,0.125,0.3333333333333333,0.2916666666666667,1691.8333333333333
10,train,1,8,0.125,271.491007566452,334.8296629190445,312.6465483903885,404.8358783960342,2.75,0.0,0.25,0.75,0.625,3595.625
11,train,1,8,0.125,285.1656696796417,329.6456105709076,319.70345640182495,362.2303110361099,2.75,0.125,0.0,0.875,0.75,3507.0
12,train,1,8,0.125,252.4180017709732,273.23885865211486,291.5004109144211,305.3724575519562,2.875,0.0,0.125,0.875,0.625,3231.625
13,train,1,8,0.0,275.01533925533295,305.9532070159912,307.7532402276993,338.0013388633728,3.0,0.0,0.0,1.0,1.0,3919.375
14,train,1,8,0.5,287.8628715276718,311.57201652526857,325.904079914093,344.9968828201294,2.375,0.25,0.125,0.625,0.75,2943.375
15,eval,1,24,0.75,26.88701355457306,133.43112456798553,55.97112500667572,165.05545902252197,1.8333333333333333,0.5416666666666666,0.08333333333333333,0.375,0.20833333333333334,1561.5833333333333
15,train,1,8,0.25,262.49063313007355,297.58036091327665,298.08938014507294,325.777556347847,2.75,0.0,0.25,0.75,0.875,3226.625
16,train,1,2,0.0,207.01242971420288,211.4575966835022,243.71399629116058,246.95903136730195,3.0,0.0,0.0,1.0,1.0,3945.0
16,train,2,4,0.75,149.16576993465424,208.96378481388092,197.64995861053467,273.6170430421829,2.25,0.25,0.25,0.5,0.75,2647.75
17,train,1,6,0.3333333333333333,246.64636981487274,289.5328098535538,292.4211641550064,339.51492965221405,2.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333334,3214.6666666666665
